职位名,链接,公司,工作地点,薪资,经验,学历
高级数据分析师 ,https://www.zhipin.com/job_detail/1413393839.html,QuestMobile,广州,10K-20K,3-5年,本科
数据分析专家 ,https://www.zhipin.com/job_detail/1413206247.html,贝贝网,杭州,15K-30K,3-5年,硕士
数据分析师 ,https://www.zhipin.com/job_detail/1413318797.html,灵狗电子科技,郑州,4K-5K,1年以内,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413370673.html,中恒云能源,杭州,10K-15K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413362681.html,土巴兔,深圳,20K-40K,3-5年,本科
实习数据分析师 ,https://www.zhipin.com/job_detail/1413410671.html,盛世多维,北京,4K-5K,经验不限,硕士
数据分析师 ,https://www.zhipin.com/job_detail/1413380887.html,觅思,苏州,3K-5K,应届生,本科
BI数据分析师 ,https://www.zhipin.com/job_detail/1413259669.html,小站教育,上海,8K-15K,1-3年,本科
数据分析 ,https://www.zhipin.com/job_detail/1413130680.html,博彦科技,北京,5K-7K,经验不限,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413364173.html,投哪网,深圳,12K-24K,1-3年,硕士
风控部门数据分析专员 ,https://www.zhipin.com/job_detail/1413238899.html,美利金融有用分期,武汉,4K-6K,1年以内,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413336746.html,网易,北京,15K-30K,3-5年,硕士
数据分析师 ,https://www.zhipin.com/job_detail/1413352645.html,金钱包科技,深圳,10K-15K,1年以内,本科
数据分析 ,https://www.zhipin.com/job_detail/1412959787.html,木九十,深圳,7K-12K,1-3年,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413233712.html,饿了么,上海,6K-12K,经验不限,本科
数据分析员 ,https://www.zhipin.com/job_detail/1413381025.html,名雕装饰,深圳,3K-5K,经验不限,不限
数据分析助理 ,https://www.zhipin.com/job_detail/1413253750.html,哲信信息,杭州,3K-6K,经验不限,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413243172.html,壹米滴答,上海,8K-15K,3-5年,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413265103.html,好运虎,上海,9K-18K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413340618.html,迈科技MetaLab,上海,7K-9K,1年以内,本科
BI数据分析师 ,https://www.zhipin.com/job_detail/1413356919.html,琅格金融,杭州,8K-16K,1-3年,本科
数据分析员 ,https://www.zhipin.com/job_detail/1413370206.html,潮生活新媒体,深圳,4K-6K,1年以内,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413392896.html,卡车之家,北京,10K-20K,1年以内,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413316277.html,中金标准数据,北京,10K-15K,3-5年,硕士
商业数据分析 ,https://www.zhipin.com/job_detail/1413408632.html,北京普柏特信息科技,上海,7K-14K,经验不限,本科
数据分析 ,https://www.zhipin.com/job_detail/1412875979.html,饿了么,上海,10K-20K,3-5年,本科
数据分析专员 ,https://www.zhipin.com/job_detail/1413342261.html,顶呱呱,深圳,4K-8K,1-3年,大专
数据分析经理（风险分析方向） ,https://www.zhipin.com/job_detail/1413322660.html,同源数智,北京,20K-30K,5-10年,本科
数据分析专员/市场调查员 ,https://www.zhipin.com/job_detail/1413387682.html,恒泰博远贸易,深圳,4K-6K,1-3年,大专
数据分析专员/经理 ,https://www.zhipin.com/job_detail/1413239218.html,皖湘网络,上海,7K-14K,1-3年,本科
数据分析员 ,https://www.zhipin.com/job_detail/1413362929.html,潮生活新媒体,深圳,4K-6K,1-3年,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413151215.html,广联达,北京,10K-15K,3-5年,本科
地理信息数据分析师 ,https://www.zhipin.com/job_detail/1413240014.html,大地云游,北京,6K-9K,1年以内,硕士
数据分析 ,https://www.zhipin.com/job_detail/1413088402.html,小码教育,杭州,13K-16K,1-3年,本科
数据分析（外派滴滴） ,https://www.zhipin.com/job_detail/1413222143.html,软通动力集团,北京,6K-10K,1-3年,本科
长春－数据分析运营 ,https://www.zhipin.com/job_detail/1413329120.html,软通动力,长春,5K-8K,1-3年,大专
商业数据分析师 ,https://www.zhipin.com/job_detail/1413351665.html,支付宝口碑,杭州,15K-30K,3-5年,硕士
数据分析师 ,https://www.zhipin.com/job_detail/1413191461.html,富聊,杭州,4K-6K,经验不限,本科
数据分析工程师 ,https://www.zhipin.com/job_detail/1413219198.html,货车帮,成都,10K-20K,3-5年,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413212175.html,神州鹰,北京,7K-9K,1-3年,本科
高级数据分析工程师 ,https://www.zhipin.com/job_detail/1413263722.html,票据宝,深圳,15K-30K,5-10年,不限
数据分析师 ,https://www.zhipin.com/job_detail/1413398024.html,恒昌利通,北京,15K-25K,3-5年,本科
数据分析经理 ,https://www.zhipin.com/job_detail/1413196310.html,亚泰集团,北京,20K-30K,5-10年,本科
数据分析师（网易游戏） ,https://www.zhipin.com/job_detail/1413404121.html,中软国际,杭州,8K-15K,1-3年,本科
产品经理（数据分析方向） ,https://www.zhipin.com/job_detail/1413193372.html,恒昌利通,北京,15K-25K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413194306.html,海致,北京,10K-20K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413332303.html,软通动力,深圳,15K-25K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413180910.html,折800,北京,15K-25K,5-10年,本科
