,职位名,链接,公司,工作地点,薪资,经验,学历,工作地点(城市),薪资(统一月薪元)
559,数据分析工程师,http://jobs.51job.com/fuzhou-glq/68444735.html?s=01&t=0,福建国通信息科技有限公司,福州-鼓楼区,0.5-1万/月,,,福州,7500.0
560,数据分析,http://jobs.51job.com/shenzhen-lgq/75135444.html?s=01&t=0,深圳市鑫荣懋农产品股份有限公司,深圳-龙岗区,0.8-1万/月,3-4年经验,本科,深圳,9000.0
561,数据分析专员,http://jobs.51job.com/shenzhen-nsq/90867156.html?s=01&t=0,深圳市兴海物联科技有限公司,深圳-南山区,10-15万/年,,,深圳,10417.0
562,大数据分析岗,http://jobs.51job.com/beijing-hdq/89867359.html?s=01&t=0,北京华润物业管理有限公司海淀分部,北京-海淀区,0.8-1.5万/月,2年经验,本科,北京,11500.0
563,数据分析,http://jobs.51job.com/hangzhou-xcq/84581476.html?s=01&t=0,浙江华义文化创意有限公司,杭州-下城区,4.5-6千/月,,,杭州,5250.0
564,商品数据分析员,http://jobs.51job.com/chengdu-jjq/74208507.html?s=01&t=0,成都缔梵服饰有限公司,成都-锦江区,3-4.5千/月,,大专,成都,3750.0
565,数据分析员,http://jobs.51job.com/chongqing/86789840.html?s=01&t=0,延锋汽车饰件系统重庆有限公司,重庆,3-4.5千/月,,大专,重庆,3750.0
566,数据分析师,http://jobs.51job.com/wuxi/92284092.html?s=01&t=0,江苏国奥世纪体育文化传播有限公司,无锡,0.6-1万/月,,大专,无锡,8000.0
567,临床数据分析员,http://jobs.51job.com/beijing-cyq/81943459.html?s=01&t=0,北京哲齐合明科技有限公司,北京-朝阳区,0.8-1.5万/月,5-7年经验,本科,北京,11500.0
568,行业数据分析专员,http://jobs.51job.com/fuzhou/88853190.html?s=01&t=0,九龙宝典传媒集团股份有限公司,福州,3-4.5千/月,,大专,福州,3750.0
569,数据分析师,http://jobs.51job.com/changzhou/91304310.html?s=01&t=0,万帮新能源投资集团有限公司,常州,5-8千/月,2年经验,本科,常州,6500.0
570,数据分析（核算专员）,http://jobs.51job.com/beijing/76491764.html?s=01&t=0,北京正德慧通生物科技有限公司,北京,5-7千/月,3-4年经验,大专,北京,6000.0
571,数据分析员,http://jobs.51job.com/chengdu-qyq/54597554.html?s=01&t=0,四川卓越测评咨询有限公司,成都-青羊区,3-6千/月,2年经验,本科,成都,4500.0
572,数据分析师,http://jobs.51job.com/shanghai-pdxq/92429302.html?s=01&t=0,上海持富金融信息服务有限公司,上海-浦东新区,0.5-1万/月,1年经验,大专,上海,7500.0
573,数据分析师/数据分析员/数据处理,http://jobs.51job.com/lhasa/91102372.html?s=01&t=0,南京汇龙科技有限公司,拉萨,3-6千/月,,,拉萨,4500.0
574,数据分析师,http://jobs.51job.com/changsha/82310875.html?s=01&t=0,快乐购物股份有限公司,长沙,4.5-6.5千/月,3-4年经验,本科,长沙,5500.0
575,游戏数据分析师,http://jobs.51job.com/beijing-cyq/84307220.html?s=01&t=0,北京蓝海龙文化传播有限公司,北京-朝阳区,1-1.5万/月,3-4年经验,本科,北京,12500.0
576,财务文员/数据分析员/统计员,http://jobs.51job.com/guangzhou-hzq/87223070.html?s=01&t=0,广州欣阳电子科技有限公司,广州-海珠区,3-4.5千/月,1年经验,本科,广州,3750.0
577,数据分析及MSTR开发,http://jobs.51job.com/changchun/88651087.html?s=01&t=0,北京润霖汽车科技有限公司,长春,5-8千/月,,,长春,6500.0
578,数据分析员（DP）,http://jobs.51job.com/guangzhou-yxq/89008338.html?s=01&t=0,北京新生代市场监测机构有限公司广州分公司,广州-越秀区,4.5-6千/月,2年经验,本科,广州,5250.0
579,数据分析专员-南京-00807,http://jobs.51job.com/nanjing-jnq/92217655.html?s=01&t=0,南京泉眼体育发展有限公司,南京-江宁区,6-8千/月,,,南京,7000.0
580,高级数据分析师,http://jobs.51job.com/shenzhen-nsq/85321029.html?s=01&t=0,深圳星桥数据技术有限公司,深圳-南山区,1-2.5万/月,2年经验,,深圳,17500.0
581,数据分析师,http://jobs.51job.com/hangzhou-jgq/91646349.html?s=01&t=0,易视腾科技股份有限公司,杭州-江干区,0.8-1.5万/月,3-4年经验,,杭州,11500.0
582,数据分析师,http://jobs.51job.com/shenzhen-nsq/88105079.html?s=01&t=0,深圳市易车出行科技有限公司,深圳-南山区,0.8-1万/月,5-7年经验,,深圳,9000.0
583,连锁门店商品数据分析员,http://jobs.51job.com/shanghai-pdxq/92298355.html?s=01&t=0,上海蘑菇宝贝百货有限公司,上海-浦东新区,4.5-6千/月,1年经验,大专,上海,5250.0
584,文本信息大数据分析师,http://jobs.51job.com/beijing-xcq/86285379.html?s=01&t=0,中经网数据有限公司,北京-西城区,6-8千/月,,本科,北京,7000.0
585,数据分析师,http://jobs.51job.com/shanghai-xhq/90275205.html?s=01&t=0,聚信立,上海-徐汇区,1.5-2万/月,2年经验,本科,上海,17500.0
586,保险数据分析师,http://jobs.51job.com/hangzhou-gsq/83101930.html?s=01&t=0,浙江联保网络技术有限公司,杭州-拱墅区,6-8千/月,2年经验,大专,杭州,7000.0
587,数据分析总监,http://jobs.51job.com/shanghai/79447569.html?s=01&t=0,返利网,上海,3.5-5万/月,,,上海,42500.0
588,数据分析专员,http://jobs.51job.com/qingdao-hdq/62207180.html?s=01&t=0,山东捷丰国际储运有限公司,青岛-黄岛区,4-6千/月,,硕士,青岛,5000.0
589,高级数据分析师,http://jobs.51job.com/nantong/80741004.html?s=01&t=0,南通大数洞察网络科技有限公司,南通,1.5-2万/月,3-4年经验,本科,南通,17500.0
590,高级数据分析师-杭州（公共平台事业部）,http://hundsun.51job.com/sc/show_job_detail.php?jobid=91005780,恒生电子股份有限公司,杭州-滨江区,1.2-2万/月,,,杭州,16000.0
591,外贸数据分析员（双休  待遇高 工作环境好）,http://jobs.51job.com/tianjin/91049594.html?s=01&t=0,天津市美昕利源商贸有限公司,天津,3-4.5千/月,,大专,天津,3750.0
592,数据分析工程师,http://jobs.51job.com/guangzhou-yxq/83518978.html?s=01&t=0,博彦科技广州有限公司,广州-越秀区,0.8-1.5万/月,,,广州,11500.0
593,杭州财务数据分析专员,http://jobs.51job.com/hangzhou-xcq/78716980.html?s=01&t=0,浙江华润三九众益制药有限公司,杭州-下城区,4-8千/月,1年经验,本科,杭州,6000.0
594,高级数据分析顾问,http://jobs.51job.com/beijing-cyq/85913090.html?s=01&t=0,北京易观智库网络科技有限公司,北京-朝阳区,1.5-2万/月,3-4年经验,,北京,17500.0
595,SFE Data analyst/销售效能数据分析员,http://jobs.51job.com/beijing-cyq/90595406.html?s=01&t=0,施维雅（天津）制药有限公司,北京-朝阳区,0.8-1万/月,3-4年经验,本科,北京,9000.0
596,金融数据分析师,http://jobs.51job.com/shanghai-pdxq/79125494.html?s=01&t=0,上海大智慧财汇数据科技有限公司,上海-浦东新区,1-1.5万/月,2年经验,本科,上海,12500.0
597,销售数据分析专员,http://jobs.51job.com/hangzhou/77390661.html?s=01&t=0,浙江佐力药业股份有限公司,杭州,4-4.5千/月,,,杭州,4250.0
598,数据分析实习生,http://jobs.51job.com/beijing/90966923.html?s=01&t=0,百融（北京）金融信息服务股份有限公司,北京,3-5千/月,,,北京,4000.0
599,数据分析工程师,http://jobs.51job.com/chengdu/91639209.html?s=01&t=0,成都唐源电气股份有限公司,成都,3.5-6千/月,,大专,成都,4750.0
600,数据分析师,http://jobs.51job.com/beijing-cyq/88851108.html?s=01&t=0,尚德机构,北京-朝阳区,0.8-1万/月,1年经验,本科,北京,9000.0
601,数据分析-诸暨雄风孩子王,http://jobs.51job.com/shaoxing/91523613.html?s=01&t=0,杭州孩子王儿童用品有限公司,绍兴,3-4.5千/月,1年经验,大专,绍兴,3750.0
602,数据分析,http://jobs.51job.com/shanghai-ptq/60854949.html?s=01&t=0,上海沙驰服饰有限公司,上海-普陀区,,1年经验,,上海,
603,数据分析/文员,http://jobs.51job.com/hangzhou/73794082.html?s=01&t=0,竞思教育,杭州,4-6千/月,1年经验,大专,杭州,5000.0
604,数据分析师（汽车）,http://jobs.51job.com/shanghai/72618538.html?s=01&t=0,上海轩言网络信息科技有限公司,上海,1-2万/月,3-4年经验,本科,上海,15000.0
605,游戏数据分析师/包中晚餐/五险一金,http://jobs.51job.com/guangzhou-thq/92439803.html?s=01&t=0,上海弘贯网络科技有限公司,广州-天河区,0.8-1万/月,3-4年经验,本科,广州,9000.0
606,数据分析师,http://jobs.51job.com/guangzhou-thq/90845895.html?s=01&t=0,广州小橙网络科技有限公司,广州-天河区,0.8-1.5万/月,2年经验,本科,广州,11500.0
607,数据分析师,http://jobs.51job.com/beijing-dxq/83996613.html?s=01&t=0,新达达,北京-大兴区,0.8-1万/月,3-4年经验,本科,北京,9000.0
608,项目策划与数据分析专员,http://jobs.51job.com/shanwei/85072411.html?s=01&t=0,广东深汕投资控股集团有限公司,异地招聘,5-6千/月,3-4年经验,本科,异地招聘,5500.0
609,数据分析(业务方向),http://jobs.51job.com/beijing-dcq/90432022.html?s=01&t=0,紫梧桐（北京）资产管理有限公司,北京-东城区,0.7-1.4万/月,1年经验,本科,北京,10500.0
610,数据分析师,http://jobs.51job.com/qingdao-cyq/84261231.html?s=01&t=0,浩丰（青岛）食品有限公司,青岛-城阳区,5-8千/月,1年经验,本科,青岛,6500.0
611,数据分析专员,http://jobs.51job.com/wuhan/67605494.html?s=01&t=0,安踏武汉分销商公司,武汉,3-4.5千/月,2年经验,中专,武汉,3750.0
612,数据分析和软件算法工程师,http://jobs.51job.com/wuhan-hsq/89426755.html?s=01&t=0,武汉理工光科股份有限公司,武汉-洪山区,10-15万/年,,本科,武汉,10417.0
613,数据分析员,http://jobs.51job.com/guangzhou-thq/91426632.html?s=01&t=0,广州市硅愉科技有限公司,广州-天河区,3-4.5千/月,1年经验,大专,广州,3750.0
614,数据分析（经管中心）,http://jobs.51job.com/hangzhou-xcq/91519127.html?s=01&t=0,杭州雅未实业有限公司,杭州-下城区,0.5-1万/月,2年经验,大专,杭州,7500.0
615,数据分析专员,http://jobs.51job.com/shenzhen/92355342.html?s=01&t=0,深圳市乐凯撒比萨餐饮管理有限公司,深圳,6-8千/月,1年经验,,深圳,7000.0
616,大数据分析师（数据研究员）,http://jobs.51job.com/guangzhou/89171667.html?s=01&t=0,广州红海网络科技开发有限公司,广州,0.6-1.2万/月,3-4年经验,本科,广州,9000.0
617,销售数据分析,http://jobs.51job.com/suzhou-wjq/92434788.html?s=01&t=0,苏州上久楷丝绸科技文化有限公司,苏州-吴江区,3-4.5千/月,1年经验,大专,苏州,3750.0
618,数据分析师（临海）,http://jobs.51job.com/taizhoue/92433935.html?s=01&t=0,浙江伟星实业发展股份有限公司,台州,3-4.5千/月,,本科,台州,3750.0
619,数据分析师,http://jobs.51job.com/beijing/92226713.html?s=01&t=0,文思海辉技术有限公司Pactera Technology International Limited,北京,0.8-1万/月,2年经验,本科,北京,9000.0
620,运营策划（数据分析）-2736,http://jobs.51job.com/shanghai-pdxq/90575520.html?s=01&t=0,上海完美世界网络技术有限公司,上海-浦东新区,1-1.5万/月,1年经验,本科,上海,12500.0
621,急招SEO数据分析师/SEO专员/助理/实训生/应届生,http://jobs.51job.com/wuhan-hsq/91147426.html?s=01&t=0,武汉万维速科网络科技有限公司,武汉-洪山区,4.5-6千/月,无工作经验,大专,武汉,5250.0
622,数据分析师,http://jobs.51job.com/shanghai-ptq/91686685.html?s=01&t=0,上海链集电子商务有限公司,上海-普陀区,4.5-6千/月,2年经验,,上海,5250.0
623,数据分析师,http://jobs.51job.com/guangzhou-thq/91370153.html?s=01&t=0,广州锋泽网络科技有限公司,广州-天河区,0.9-1.1万/月,1年经验,大专,广州,10000.0
624,电商数据分析/数据运营,http://jobs.51job.com/guangzhou-thq/82586653.html?s=01&t=0,DoctorLi李医生电商事业部,广州-天河区,3.5-8千/月,,大专,广州,5750.0
625,数据分析师,http://jobs.51job.com/shanghai-pdxq/90794791.html?s=01&t=0,美味不用等,上海-浦东新区,0.7-1万/月,1年经验,,上海,8500.0
626,功效评价工程师（偏数据分析）,http://jobs.51job.com/hangzhou-xhq/92344242.html?s=01&t=0,珀莱雅化妆品股份有限公司,杭州-西湖区,6-8千/月,,本科,杭州,7000.0
627,数据分析,http://jobs.51job.com/shanghai-ptq/91666388.html?s=01&t=0,上海鑫驰服饰有限公司,上海-普陀区,,,大专,上海,
628,数据分析助理,http://jobs.51job.com/guangzhou-thq/87762663.html?s=01&t=0,广州比呀比信息科技有限公司,广州-天河区,80元/天,无工作经验,本科,广州,1740.0
629,管培生-数据分析工程师-面向17、18届,http://jobs.51job.com/xian/92345190.html?s=01&t=0,西安中软卓越信息技术有限公司,西安,4.5-6千/月,无工作经验,大专,西安,5250.0
630,运营专员/数据分析（2018届实习生）,http://jobs.51job.com/fuzhou-glq/91823419.html?s=01&t=0,福建博士通信息有限责任公司,福州-鼓楼区,2-3千/月,,本科,福州,2500.0
631,数据分析助理（外企）,http://jobs.51job.com/shanghai-jaq/82344746.html?s=01&t=0,Hotelbeds 悠畅（上海）商务服务有限公司,上海-静安区,4.8-5.4万/年,,,上海,4250.0
632,数据分析师（高级）,http://jobs.51job.com/shenzhen/92245111.html?s=01&t=0,土巴兔装修网,深圳,1.5-2.5万/月,,本科,深圳,20000.0
633,数据分析师（熟练excel、sql优先）+班车接送+专业培训,http://jobs.51job.com/zhengzhou/83609843.html?s=01&t=0,河南锐之旗网络科技有限公司,郑州,3-4.5千/月,1年经验,大专,郑州,3750.0
634,数据分析师/助理数据分析师,http://jobs.51job.com/shanghai/91922881.html?s=01&t=0,上海克顿文化传媒有限公司,上海,7-8千/月,2年经验,本科,上海,7500.0
635,数据分析师,http://jobs.51job.com/shenzhen-ftq/91302701.html?s=01&t=0,地上铁租车（深圳）有限公司,深圳-福田区,0.7-1万/月,3-4年经验,大专,深圳,8500.0
636,高级数据分析师,http://jobs.51job.com/shenzhen-ftq/87835586.html?s=01&t=0,深圳市首控微金资本管理控股有限公司,深圳-福田区,1-2万/月,5-7年经验,,深圳,15000.0
637,数据分析专员,http://jobs.51job.com/guangzhou/87230585.html?s=01&t=0,广大医院,广州,4-5千/月,,,广州,4500.0
638,数据分析专员（双休）,http://jobs.51job.com/chongqing-spbq/87419654.html?s=01&t=0,重庆软弘信息技术有限公司,重庆-沙坪坝区,3-4.5千/月,,,重庆,3750.0
639,数据分析师/市场助理（行政职能）+6k月薪可提供住宿,http://jobs.51job.com/shanghai-ptq/87526162.html?s=01&t=0,上海誉满投资有限公司,上海-普陀区,6-8千/月,,高中,上海,7000.0
640,数据分析师,http://jobs.51job.com/shanghai-zbq/84559915.html?s=01&t=0,盛世大联融资租赁（上海）有限公司,上海-闸北区,6-8千/月,,本科,上海,7000.0
641,大数据分析,http://jobs.51job.com/shanghai/91758063.html?s=01&t=0,资邦金服网络科技集团有限公司,上海,0.7-1万/月,2年经验,本科,上海,8500.0
642,数据分析专员,http://jobs.51job.com/guangzhou-byq/70321975.html?s=01&t=0,广州市淘淘乐品牌管理有限公司,广州-白云区,4.5-6千/月,3-4年经验,,广州,5250.0
643,（双休）数据分析专员接受转行,http://jobs.51job.com/chongqing-spbq/91099791.html?s=01&t=0,重庆市鑫煌科技有限公司,重庆-沙坪坝区,3-4.5千/月,,,重庆,3750.0
644,数据分析员,http://jobs.51job.com/fuzhou/88817056.html?s=01&t=0,福州市乐贝贸易有限公司,福州,3.5-6千/月,2年经验,本科,福州,4750.0
645,数据分析专员—镇江万达店,http://jobs.51job.com/zhenjiang/92012577.html?s=01&t=0,孩子王儿童用品股份有限公司,镇江,2.5-3.5千/月,1年经验,大专,镇江,3000.0
646,呼叫中心数据分析处理师,http://jobs.51job.com/chengdu-whq/84856177.html?s=01&t=0,四川其妙科技有限公司,成都-武侯区,6-8千/月,1年经验,大专,成都,7000.0
647,高级财务数据分析专员,http://jobs.51job.com/chengdu/83687257.html?s=01&t=0,易初明通工程机械（总部）,成都,4-5千/月,5-7年经验,,成都,4500.0
648,数据分析员（可应届）,http://jobs.51job.com/shanghai/89476068.html?s=01&t=0,深圳卓越未来信息科技有限公司,上海,4.5-6千/月,,大专,上海,5250.0
649,数据分析专员,http://jobs.51job.com/wuhan-qkq/81927236.html?s=01&t=0,湖北哥弟,武汉-硚口区,3-4.5千/月,,,武汉,3750.0
650,数据分析师,http://jobs.51job.com/beijing-hdq/76793335.html?s=01&t=0,北京好租科技发展有限公司,北京-海淀区,6-8千/月,2年经验,本科,北京,7000.0
651,数据分析员,http://jobs.51job.com/beijing-hdq/87094732.html?s=01&t=0,北京恒州博智国际信息咨询有限公司,北京-海淀区,6-8千/月,1年经验,本科,北京,7000.0
652,数据分析,http://jobs.51job.com/chengdu-gxq/75736351.html?s=01&t=0,重庆天极网络有限公司,成都-高新区,3-4.5千/月,,,成都,3750.0
653,数据分析员,http://jobs.51job.com/shanghai-zbq/85550454.html?s=01&t=0,上海三熙大数据技术有限公司,上海-闸北区,3-4.5千/月,,,上海,3750.0
654,数据分析师,http://jobs.51job.com/shenzhen/85053117.html?s=01&t=0,深圳市黑蚁企业管理有限公司,深圳,4.5-6千/月,2年经验,大专,深圳,5250.0
655,高级数据分析师,http://jobs.51job.com/shanghai-pdxq/92326306.html?s=01&t=0,上海普资金融信息服务股份有限公司,上海-浦东新区,1.5-2.5万/月,3-4年经验,本科,上海,20000.0
656,数据分析专员,http://jobs.51job.com/guangzhou-lwq/79621082.html?s=01&t=0,广州珂卡芙鞋业有限公司,广州-荔湾区,3-4.5千/月,,,广州,3750.0
657,数据分析经理,http://jobs.51job.com/chengdu-gxq/91754359.html?s=01&t=0,成都希古尚博实业有限公司,成都-高新区,1.5-2万/月,,本科,成都,17500.0
658,数据分析,http://jobs.51job.com/shanghai-xhq/85726770.html?s=01&t=0,游族网络,上海-徐汇区,0.9-1.8万/月,,,上海,13500.0
659,数据分析工程师,http://jobs.51job.com/chongqing-ybq/85430139.html?s=01&t=0,重庆维普资讯有限公司,重庆-渝北区,5-8千/月,1年经验,本科,重庆,6500.0
660,数据分析专员,http://jobs.51job.com/hangzhou-xhq/90154513.html?s=01&t=0,杭州朱养心药业有限公司,杭州-西湖区,3.5-4.5千/月,无工作经验,大专,杭州,4000.0
661,数据分析,http://jobs.51job.com/guangzhou-yxq/92412689.html?s=01&t=0,广东任玩传媒股份有限公司,广州-越秀区,0.8-1.6万/月,,,广州,12000.0
662,政策数据分析岗（工作地点：成都市）,http://jobs.51job.com/chengdu-whq/92304650.html?s=01&t=0,江西济民可信集团有限公司,成都-武侯区,4-5千/月,1年经验,本科,成都,4500.0
663,数据分析工程师,http://jobs.51job.com/xiamen/92147954.html?s=01&t=0,网宿科技股份有限公司,厦门,0.8-1.5万/月,,本科,厦门,11500.0
664,数据分析师,http://jobs.51job.com/beijing-dcq/90019549.html?s=01&t=0,海南易建科技股份有限公司,北京-东城区,0.8-1.2万/月,,本科,北京,10000.0
665,数据分析师,http://jobs.51job.com/hangzhou/90470031.html?s=01&t=0,杭州昊翌制衣有限公司,杭州,4-6千/月,,,杭州,5000.0
666,数据分析师,http://jobs.51job.com/haikou/91316104.html?s=01&t=0,海南好拼网络科技有限公司,海口,4-8千/月,1年经验,大专,海口,6000.0
667,数据分析师,http://jobs.51job.com/foshan/85037700.html?s=01&t=0,广东溢达纺织有限公司,佛山,4.5-6千/月,1年经验,本科,佛山,5250.0
668,数据分析师,http://jobs.51job.com/wuhan/91480412.html?s=01&t=0,奥山集团有限公司,武汉,0.8-1万/月,3-4年经验,,武汉,9000.0
669,数据分析师,http://jobs.51job.com/shanghai-ypq/91698281.html?s=01&t=0,小沃科技有限公司,上海-杨浦区,20-30万/年,3-4年经验,,上海,20833.0
670,数据分析岗(正式编制),http://jobs.51job.com/wenzhou/59994722.html?s=01&t=0,中国平安人寿保险股份有限公司温州中心支公司,温州,4.5-6千/月,1年经验,本科,温州,5250.0
671,Web/大数据分析实习生,http://jobs.51job.com/chongqing-jbq/90793532.html?s=01&t=0,上海海文信息技术有限公司重庆分公司,重庆-江北区,3-4.5千/月,无工作经验,,重庆,3750.0
672,收益管理/大数据分析（主管级）,http://jobs.51job.com/guangzhou/90445161.html?s=01&t=0,广州中国市长大厦管理有限公司,广州,4.5-6.5千/月,3-4年经验,大专,广州,5500.0
673,数据分析（市场/运营）,http://jobs.51job.com/shanghai-cnq/89192079.html?s=01&t=0,携程旅行网支持区,上海-长宁区,1-1.5万/月,,,上海,12500.0
674,数据分析专员,http://jobs.51job.com/zhengzhou/87453509.html?s=01&t=0,安徽省好想你智能营销科技有限公司,郑州,3-4.5千/月,1年经验,本科,郑州,3750.0
675,产品运营（数据分析方向）,http://jobs.51job.com/hefei/90208790.html?s=01&t=0,深圳市讯方技术股份有限公司,合肥,4-8千/月,1年经验,大专,合肥,6000.0
676,郑州营业部—数据分析,http://jobs.51job.com/zhengzhou/85613161.html?s=01&t=0,一德期货有限公司,郑州,4-6千/月,,,郑州,5000.0
677,商品数据分析员,http://jobs.51job.com/guangzhou-byq/56939111.html?s=01&t=0,广东歌蒂诗服饰有限公司,广州-白云区,0.6-1万/月,3-4年经验,大专,广州,8000.0
678,数据分析师,http://jobs.51job.com/xian-lhq/89890062.html?s=01&t=0,广州思迈特软件有限公司,西安-莲湖区,1.5-2万/月,,,西安,17500.0
679,服装商品数据分析员,http://jobs.51job.com/chengdu/77481738.html?s=01&t=0,锦江区鑫祥服饰营销中心,成都,4-6千/月,3-4年经验,,成都,5000.0
680,电商数据分析员,http://jobs.51job.com/chaozhou/91958966.html?s=01&t=0,深圳市香蕉电子商务有限公司,潮州,3-4.5千/月,1年经验,大专,潮州,3750.0
681,数据分析,http://jobs.51job.com/shanghai/56440496.html?s=01&t=0,上海郁金香广告传媒有限公司,上海,4.5-6千/月,,,上海,5250.0
682,数据分析,http://jobs.51job.com/shanghai-hpq/90753091.html?s=01&t=0,上海合盘金融信息服务股份有限公司,上海-黄浦区,0.8-1万/月,,本科,上海,9000.0
683,数据分析专员,http://jobs.51job.com/shenzhen-lhxq/90958072.html?s=01&t=0,深圳市每天惠电子商务有限公司,深圳-龙华新区,4.5-7千/月,1年经验,中专,深圳,5750.0
684,广告数据分析员+奖金+双休,http://jobs.51job.com/hangzhou/83728377.html?s=01&t=0,杭州梵星科技有限公司,杭州,6-8千/月,2年经验,,杭州,7000.0
685,数据分析师/主管/经理,http://jobs.51job.com/shanghai/88364092.html?s=01&t=0,上海中赢金融信息服务有限公司,上海,1-1.5万/月,3-4年经验,大专,上海,12500.0
686,数据分析师,http://jobs.51job.com/shanghai/71713309.html?s=01&t=0,优志愿,上海,6-8千/月,无工作经验,本科,上海,7000.0
687,高级数据分析师,http://jobs.51job.com/shanghai-ypq/90424565.html?s=01&t=0,憨分数据科技（上海）有限公司,上海-杨浦区,1.5-2万/月,2年经验,本科,上海,17500.0
688,商品数据分析,http://jobs.51job.com/ningbo/75115995.html?s=01&t=0,宁波乐卡克服饰有限公司,宁波,0.6-1万/月,3-4年经验,大专,宁波,8000.0
689,数据分析师,http://jobs.51job.com/hangzhou-bjq/82583849.html?s=01&t=0,小蜜蜂金融服务集团,杭州-滨江区,0.8-1.2万/月,,本科,杭州,10000.0
690,系统数据分析师,http://jobs.51job.com/guangzhou-thq/90435650.html?s=01&t=0,广东中实国润科技有限公司,广州-天河区,1-2万/月,,本科,广州,15000.0
691,数据运营/数据分析师,http://jobs.51job.com/hangzhou/88998231.html?s=01&t=0,浙江海亮教育集团有限公司,杭州,1-1.5万/月,,大专,杭州,12500.0
692,数据分析专员,http://jobs.51job.com/hangzhou/88143320.html?s=01&t=0,明康汇生态农业集团有限公司,杭州,4.5-6千/月,无工作经验,本科,杭州,5250.0
693,客服数据分析专员,http://jobs.51job.com/shanghai-hkq/89445837.html?s=01&t=0,广州餐道信息科技有限公司,上海-虹口区,4.5-6千/月,,中专,上海,5250.0
694,数据分析师,http://jobs.51job.com/hangzhou-jgq/75335278.html?s=01&t=0,杭州玖广服饰有限公司,杭州-江干区,5-7千/月,1年经验,大专,杭州,6000.0
695,大数据分析工程师,http://jobs.51job.com/hangzhou/88861110.html?s=01&t=0,杭州云屏科技有限公司,杭州,1.2-2.2万/月,,,杭州,17000.0
696,联想选件数据分析,http://jobs.51job.com/beijing/80417714.html?s=01&t=0,北京麦圃国际投资顾问有限公司,北京,4.5-6千/月,,,北京,5250.0
697,数据分析助理/专员,http://jobs.51job.com/beijing-tzq/90904114.html?s=01&t=0,北京律动乐器股份有限公司,北京-通州区,4-6千/月,1年经验,大专,北京,5000.0
698,大数据分析师（文本挖掘方向）,http://jobs.51job.com/beijing-cyq/90864932.html?s=01&t=0,长安新生（深圳）金融投资有限公司,北京-朝阳区,0.8-1.6万/月,,本科,北京,12000.0
699,项目主管/数据分析主管/数据主管（综合）,http://jobs.51job.com/guangzhou-thq/92223901.html?s=01&t=0,广州市天诺营销策划有限公司,广州-天河区,6-6.5千/月,2年经验,本科,广州,6250.0
700,数据分析师,http://jobs.51job.com/zhongshan/84624498.html?s=01&t=0,中山市艾文凯迪网络销售有限公司,中山,6-8千/月,2年经验,大专,中山,7000.0
701,数据分析师（产品大数据方向）,http://jobs.51job.com/shanghai-jaq/91429562.html?s=01&t=0,上海房金所金融信息服务有限公司,上海-静安区,1-2万/月,,本科,上海,15000.0
702,数据分析师,http://jobs.51job.com/shanghai-xhq/83336996.html?s=01&t=0,上海微食信息科技有限公司,上海-徐汇区,1.5-2万/月,,本科,上海,17500.0
703,数据分析岗,http://jobs.51job.com/shanghai-pdxq/88939922.html?s=01&t=0,上海富友金融服务集团股份有限公司,上海-浦东新区,6-8千/月,1年经验,本科,上海,7000.0
704,采购数据分析,http://jobs.51job.com/shanghai/85270807.html?s=01&t=0,高田（上海）汽配制造有限公司,上海,4.5-6千/月,1年经验,本科,上海,5250.0
705,数据分析主管,http://jobs.51job.com/wuhan/89882146.html?s=01&t=0,乔丹体育股份有限公司,武汉,5-7千/月,,大专,武汉,6000.0
706,数据分析专员/资深数据分析师,http://jobs.51job.com/guangzhou-thq/78687752.html?s=01&t=0,广州爱博恩妇产医院有限公司,广州-天河区,4.5-6千/月,3-4年经验,本科,广州,5250.0
707,高级会计师（数据分析）,http://jobs.51job.com/shanghai/91228812.html?s=01&t=0,FILA中国,异地招聘,1-1.5万/月,,本科,异地招聘,12500.0
708,数据分析师（共享雨伞项目）,http://jobs.51job.com/shenzhen-lhxq/91339888.html?s=01&t=0,深圳市云充吧科技有限公司,深圳-龙华新区,1-1.5万/月,2年经验,,深圳,12500.0
709,数据分析师,http://jobs.51job.com/wuhan/66657289.html?s=01&t=0,武汉麦达电子有限公司,武汉,0.5-1万/月,,本科,武汉,7500.0
710,数据分析员,http://jobs.51job.com/dongguan-hm/92175669.html?s=01&t=0,上海壹加壹国际物流有限公司,东莞-虎门镇,4.5-6千/月,,,东莞,5250.0
711,高级数据分析师,http://jobs.51job.com/shenzhen-nsq/84942745.html?s=01&t=0,深圳盒子支付信息技术有限公司,深圳-南山区,1.5-2万/月,3-4年经验,本科,深圳,17500.0
712,数据分析员  工作轻松 月薪5K/下午茶,http://jobs.51job.com/hangzhou-xhq/84473542.html?s=01&t=0,杭州才客丰网络科技有限公司,杭州-西湖区,4.5-6千/月,,中专,杭州,5250.0
713,仓库管理员-数据分析,http://jobs.51job.com/shanghai-mhq/91547765.html?s=01&t=0,伟巴斯特车顶供暖系统（上海）有限公司,上海-闵行区,,1年经验,大专,上海,
714,数据分析及预测算法工程师,http://jobs.51job.com/wuhan-jxq/92056307.html?s=01&t=0,深圳市中电电力技术股份有限公司,武汉-江夏区,15-20万/年,,,武汉,14583.0
715,数据分析师,http://jobs.51job.com/shanghai/89452415.html?s=01&t=0,上海千葩贸易有限公司,上海,1-1.5万/月,2年经验,本科,上海,12500.0
