,职位名,链接,公司,工作地点,薪资,经验,学历,工作地点(城市),薪资(统一月薪元)
1155,数据分析员,http://jobs.51job.com/shenyang-txq/91368004.html?s=01&t=0,沈阳市汇华元烟酒茶礼品商行,沈阳-铁西区,3-4千/月,3-4年经验,大专,沈阳,3500.0
1156,部门助理（销售数据分析）,http://jobs.51job.com/beijing-dcq/89860917.html?s=01&t=0,北京市千叶珠宝股份有限公司,北京-东城区,5-7千/月,1年经验,大专,北京,6000.0
1157,数据分析师,http://jobs.51job.com/shanghai-jdq/89260967.html?s=01&t=0,上海华燕房盟网络科技股份有限公司,上海-嘉定区,3-4.5千/月,无工作经验,,上海,3750.0
1158,数据分析专员,http://jobs.51job.com/shanghai/90448778.html?s=01&t=0,上海臣邦医药科技有限公司,上海,6-8千/月,,,上海,7000.0
1159,物流数据分析员,http://jobs.51job.com/xiamen/91196715.html?s=01&t=0,福州展志钢铁有限公司,厦门,3.5-4.5千/月,1年经验,,厦门,4000.0
1160,2017应届生-数据分析工程师,http://jobs.51job.com/beijing/81459038.html?s=01&t=0,北京中油瑞飞信息技术有限责任公司,北京,6-8千/月,无工作经验,硕士,北京,7000.0
1161,数据分析师,http://jobs.51job.com/nanchang/87636809.html?s=01&t=0,南昌市新东方语言学校,南昌,6-8千/月,,本科,南昌,7000.0
1162,运营专员/数据分析专员,http://jobs.51job.com/nanjing/79357698.html?s=01&t=0,江苏奇乐儿文化发展有限公司,南京,3-4.5千/月,1年经验,,南京,3750.0
1163,大数据分析（双休+五险一金）3500K起,http://jobs.51job.com/xian-blq/87597760.html?s=01&t=0,陕西新榜样软件科技有限公司,西安-碑林区,3-4.5千/月,无工作经验,大专,西安,3750.0
1164,数据分析师（杭州）,http://jobs.51job.com/hangzhou-xcq/92305610.html?s=01&t=0,北京炎黄新星网络科技有限公司,杭州-下城区,6-8千/月,1年经验,本科,杭州,7000.0
1165,数据分析师,http://jobs.51job.com/shenzhen/88514693.html?s=01&t=0,宏景国际教育集团,深圳,6-8千/月,2年经验,,深圳,7000.0
1166,数据分析（BI）,http://jobs.51job.com/hangzhou-bjq/92205705.html?s=01&t=0,浙江鸿程计算机系统有限公司,杭州-滨江区,1-1.2万/月,2年经验,本科,杭州,11000.0
1167,运营数据分析师,http://jobs.51job.com/guangzhou/92348939.html?s=01&t=0,广州市诚毅科技软件开发有限公司,广州,1-1.5万/月,,,广州,12500.0
1168,数据分析专员,http://jobs.51job.com/guangzhou-lgq/86955718.html?s=01&t=0,广州御银金融服务有限公司,广州-萝岗区,4-7千/月,,大专,广州,5500.0
1169,数据分析师,http://jobs.51job.com/shenzhen-nsq/92096087.html?s=01&t=0,深圳前海大道金融服务有限公司,深圳-南山区,1-1.5万/月,,本科,深圳,12500.0
1170,数据分析专员,http://jobs.51job.com/shenzhen/84584627.html?s=01&t=0,深圳市天珑移动技术有限公司,深圳,0.5-1万/月,1年经验,大专,深圳,7500.0
1171,数据分析师,http://jobs.51job.com/beijing-xcq/89834384.html?s=01&t=0,北京联龙博通电子商务技术有限公司,北京-西城区,0.9-1.2万/月,1年经验,大专,北京,10500.0
1172,数据分析师,http://jobs.51job.com/shenzhen/86544264.html?s=01&t=0,深圳国泰安教育技术股份有限公司,深圳,10-15万/年,,硕士,深圳,10417.0
1173,数据分析师（业务咨询方向）,http://jobs.51job.com/hangzhou/70707621.html?s=01&t=0,杭州盛锋营销策划有限公司,杭州,6-7千/月,,大专,杭州,6500.0
1174,数据分析师,http://jobs.51job.com/hangzhou-scq/90800341.html?s=01&t=0,鑫略中国,杭州-上城区,0.8-1.2万/月,3-4年经验,本科,杭州,10000.0
1175,软件工程师（数据分析方向）,http://jobs.51job.com/jinan/91869243.html?s=01&t=0,北京精仪达盛科技有限公司,济南,3-5千/月,,本科,济南,4000.0
1176,业务支持工程师（数据分析）,http://jobs.51job.com/yantai/85150711.html?s=01&t=0,烟台欣和企业食品有限公司,烟台,3.5-7千/月,,本科,烟台,5250.0
1177,经营分析主管（数据分析）,http://jobs.51job.com/beijing-cyq/89125930.html?s=01&t=0,方正宽带网络服务有限公司北京分公司,北京-朝阳区,4.5-6千/月,,,北京,5250.0
1178,数据分析师（集团风控线）,http://jobs.51job.com/shenzhen-nsq/87740085.html?s=01&t=0,深圳乐信控股有限公司,深圳-南山区,1.5-3万/月,,本科,深圳,22500.0
1179,商业数据分析师,http://jobs.51job.com/shanghai-ptq/90628399.html?s=01&t=0,上海大悦城,上海-普陀区,15-25万/年,3-4年经验,本科,上海,16667.0
1180,数据分析师,http://jobs.51job.com/shenzhen-nsq/87540850.html?s=01&t=0,深圳市新国都技术股份有限公司,深圳-南山区,1-2万/月,,,深圳,15000.0
1181,数据分析专员/经理,http://jobs.51job.com/shanghai-ypq/91439348.html?s=01&t=0,上海皖湘网络信息科技有限公司,上海-杨浦区,0.6-1.5万/月,2年经验,本科,上海,10500.0
1182,电商数据分析员,http://jobs.51job.com/shenzhen/82164736.html?s=01&t=0,深圳市怡源通科技有限公司,深圳,0.9-1.1万/月,,本科,深圳,10000.0
1183,数据分析师,http://jobs.51job.com/shanghai/90707924.html?s=01&t=0,上海晶赞科技发展有限公司,上海,1.5-2万/月,2年经验,本科,上海,17500.0
1184,数据分析师（大数据BI）,http://jobs.51job.com/shanghai-zbq/92231854.html?s=01&t=0,易居（中国）社区增值服务集团,上海-闸北区,1.5-2.2万/月,3-4年经验,本科,上海,18500.0
1185,数据分析师,http://jobs.51job.com/guangzhou-hzq/91866303.html?s=01&t=0,广州市诚毅科技软件开发有限公司,广州-海珠区,0.8-1.5万/月,3-4年经验,本科,广州,11500.0
1186,运营专员/数据分析专员,http://jobs.51job.com/shanghai-ypq/91507114.html?s=01&t=0,上海微谱化工技术服务有限公司,上海-杨浦区,0.8-1万/月,,本科,上海,9000.0
1187,算法工程师/大数据分析主管,http://jobs.51job.com/shanghai-ptq/92272344.html?s=01&t=0,精锐教育,上海-普陀区,1.5-2万/月,,本科,上海,17500.0
1188,数据分析员,http://jobs.51job.com/guangzhou-hzq/88640584.html?s=01&t=0,广东雅信文化传播有限公司,异地招聘,6-8千/月,1年经验,本科,异地招聘,7000.0
1189,数据分析师,http://jobs.51job.com/guangzhou-hzq/88106653.html?s=01&t=0,广州市易彩乐网络科技有限公司,广州-海珠区,1-1.5万/月,2年经验,本科,广州,12500.0
1190,高通量测序数据分析工程师(税后年薪20万起),http://jobs.51job.com/shanghai-hkq/92317272.html?s=01&t=0,上海交复生物医药科技有限公司,上海-虹口区,20-30万/年,无工作经验,硕士,上海,20833.0
1191,高级数据分析师,http://jobs.51job.com/beijing/92438169.html?s=01&t=0,北京先进数通信息技术股份公司,北京,1-1.5万/月,3-4年经验,本科,北京,12500.0
1192,数据分析师（估价）,http://jobs.51job.com/shenzhen-nsq/76401415.html?s=01&t=0,深圳世联行地产顾问股份有限公司,深圳-南山区,4-8千/月,,本科,深圳,6000.0
1193,八戒财税-高级数据分析师-重庆,http://jobs.51job.com/chongqing/92308774.html?s=01&t=0,重庆猪八戒网络有限公司,重庆,0.8-1万/月,3-4年经验,大专,重庆,9000.0
1194,代谢组学数据分析员,http://jobs.51job.com/shanghai/84197640.html?s=01&t=0,上海伟寰生物科技有限公司,上海,6-8千/月,,,上海,7000.0
1195,选择国际认可平台 直招数据分析师 轻松拿高薪,http://jobs.51job.com/beijing-cyq/92416258.html?s=01&t=0,北京万向联合控股集团有限公司,北京-朝阳区,1-1.5万/月,,本科,北京,12500.0
1196,数据分析师/市场专员,http://jobs.51job.com/jinan/92039300.html?s=01&t=0,济南华天新光商贸有限公司,济南,3.5-5.5千/月,2年经验,本科,济南,4500.0
1197,数据分析高级专员,http://jobs.51job.com/hangzhou/91639445.html?s=01&t=0,快鱼服饰有限公司,杭州,5-7千/月,,大专,杭州,6000.0
1198,商业发展助理（BD数据分析）,http://jobs.51job.com/beijing-xcq/91546591.html?s=01&t=0,内蒙古鄂尔多斯服装有限公司,北京-西城区,0.6-1.2万/月,5-7年经验,本科,北京,9000.0
1199,数据分析员/数据分析师,http://jobs.51job.com/guangzhou-thq/91504621.html?s=01&t=0,广州暨创科生物科技有限公司,广州-天河区,4-8千/月,2年经验,,广州,6000.0
1200,销售数据分析专员,http://jobs.51job.com/shanghai/92402779.html?s=01&t=0,上海弘昊化工有限公司,上海,4-6千/月,1年经验,大专,上海,5000.0
1201,数据分析师,http://jobs.51job.com/xian/87629528.html?s=01&t=0,西安数之元网络科技有限公司,异地招聘,4-6千/月,1年经验,本科,异地招聘,5000.0
