职位名,链接,公司,工作地点,薪资,经验,学历
高级数据分析师,http://jobs.51job.com/shanghai/69416975.html?s=01&t=0,上海链家,上海,,3-4年经验,本科
数据分析主管,http://jobs.51job.com/kunming-xsq/86713862.html?s=01&t=0,云南省国有资本运营商城管理有限公司,昆明-西山区,0.8-1万/月,3-4年经验,大专
数据分析工程师,http://jobs.51job.com/shenzhen/74516789.html?s=01&t=0,比亚迪股份有限公司,深圳,6-8千/月,2年经验,本科
数据分析师,http://jobs.51job.com/shanghai-jaq/68392447.html?s=01&t=0,上海动西网络科技有限公司,上海-静安区,,,
数据分析专员/主管（SPD）,http://jobs.51job.com/shanghai-cnq/89973614.html?s=01&t=0,国药控股菱商医院管理服务（上海）有限公司,上海-长宁区,,3-4年经验,大专
临床数据分析员,http://jobs.51job.com/beijing-xcq/91629096.html?s=01&t=0,北京市捷瑞嘉科技有限责任公司,北京-西城区,4-6千/月,,本科
数据分析师（财务顾问或财务bi优先）,http://jobs.51job.com/shanghai-jaq/86635220.html?s=01&t=0,上海链家,上海-静安区,,,本科
数据分析员,http://jobs.51job.com/shenzhen-ftq/80189858.html?s=01&t=0,广东太古可口可乐有限公司,深圳-福田区,4.5-6千/月,1年经验,大专
数据分析师,http://jobs.51job.com/shenzhen/90610474.html?s=01&t=0,深圳智慧园区信息技术有限公司,深圳,1-2万/月,3-4年经验,本科
数据分析师（财务经验优先）,http://jobs.51job.com/suzhou/86630801.html?s=01&t=0,上海动西网络科技有限公司,苏州,,,
数据分析师,http://jobs.51job.com/guangzhou/82760102.html?s=01&t=0,广东智源信息技术有限公司,广州,4-8千/月,1年经验,本科
金融数据分析员/接受应届毕业生实习,http://jobs.51job.com/shanghai-hpq/88193070.html?s=01&t=0,上海联和金融信息服务有限公司,上海-黄浦区,4.5-6千/月,,本科
数据分析主管-广州,http://jobs.51job.com/guangzhou-thq/90798671.html?s=01&t=0,深圳万威科技有限公司,异地招聘,1-1.5万/月,5-7年经验,本科
数据分析专家,http://zjtlcb.51job.com/sc/show_job_detail.php?jobid=90534614,浙江泰隆商业银行股份有限公司,杭州-上城区,1.5-2万/月,,
数据分析师,http://jobs.51job.com/hangzhou/90705161.html?s=01&t=0,浙江融邦投资管理有限公司,杭州,6-8千/月,2年经验,
销售数据分析,http://jobs.51job.com/dongguan-hm/90252495.html?s=01&t=0,东莞市路西米儿制衣有限公司,东莞-虎门镇,6-8千/月,3-4年经验,大专
数据分析员/站外营销,http://jobs.51job.com/shenzhen-lhxq/91163995.html?s=01&t=0,深圳市芸丰泽电子有限公司,深圳-龙华新区,3.5-4.9千/月,,大专
物流供应链数据分析,http://jobs.51job.com/shanghai-pdxq/90564463.html?s=01&t=0,"中外运空运发展股份有限公司华东分公司 Sinotrans Air Transportation Development Co.,Ltd.(East)",上海-浦东新区,6-8千/月,1年经验,本科
数据分析师,http://jobs.51job.com/shanghai-qpq/83120359.html?s=01&t=0,上海车趣信息科技有限公司,上海-青浦区,1-1.5万/月,2年经验,本科
数据分析经理（电商）,http://jobs.51job.com/shanghai/82646544.html?s=01&t=0,上海点正信息咨询有限公司,上海,1.5-2.5万/月,3-4年经验,本科
数据分析专员4k+六险二金（接受应届生实习）,http://jobs.51job.com/chengdu-gxq/88651151.html?s=01&t=0,成都砰砰网络科技有限责任公司,成都-高新区,4-6千/月,无工作经验,大专
市场数据分析,http://jobs.51job.com/guangzhou/71077211.html?s=01&t=0,广州美童教育信息咨询有限公司,广州,3-4.5千/月,,
数据分析专员,http://jobs.51job.com/shenzhen-ftq/88460884.html?s=01&t=0,深圳市天长地久文化产业股份有限公司,深圳-福田区,6-8千/月,1年经验,大专
数据分析师,http://jobs.51job.com/guangzhou/86176153.html?s=01&t=0,广州骏伯网络科技股份有限公司,广州,6-8千/月,,
大数据分析师,http://jobs.51job.com/shenzhen-nsq/90225517.html?s=01&t=0,深圳米橙科技有限公司,深圳-南山区,1-1.5万/月,,本科
数据分析决策支持（BI）,http://jobs.51job.com/hangzhou-xhq/88432046.html?s=01&t=0,杭州点望科技有限公司,杭州-西湖区,0.5-1万/月,,
数据采集/数据分析,http://jobs.51job.com/wuhan-jaq/87938974.html?s=01&t=0,武汉武房网信息服务有限公司,武汉-江岸区,3-4.5千/月,无工作经验,
健康数据分析师,http://jobs.51job.com/beijing-dcq/86460163.html?s=01&t=0,维极科技有限责任公司,北京-东城区,0.8-1万/月,,本科
商品数据分析员,http://jobs.51job.com/guangzhou/86252548.html?s=01&t=0,广东海华实业投资有限公司（金利来时尚休闲）,广州,4-5万/年,,
运营数据分析,http://jobs.51job.com/guangzhou/83964404.html?s=01&t=0,广州九月网络科技股份有限公司,广州,4.5-6千/月,3-4年经验,
户外库存管理（数据分析）,http://jobs.51job.com/fuzhou/91595739.html?s=01&t=0,百美（福州）贸易有限公司,福州,3-6千/月,,大专
客服专员（数据分析）,http://jobs.51job.com/xian/89049232.html?s=01&t=0,新城控股集团房地产开发有限公司西安公司,西安,10-15万/年,3-4年经验,本科
数据分析师,http://jobs.51job.com/beijing-hdq/91615557.html?s=01&t=0,北京立思辰科技股份有限公司,北京-海淀区,1-1.5万/月,3-4年经验,本科
经营数据分析专员,http://jobs.51job.com/chengdu-gxq/90727334.html?s=01&t=0,四川琦彩科技有限公司,成都-高新区,4-7千/月,,
用户调研（数据分析主管）,http://jobs.51job.com/dongguan-ncq/92185790.html?s=01&t=0,团贷网,异地招聘,1.8-2.5万/月,,
人事专员 数据分析 六险二金,http://jobs.51job.com/shanghai/92161651.html?s=01&t=0,平安普惠投资咨询有限公司上海第一分公司,上海,4.5-6千/月,,大专
网站数据分析师,http://jobs.51job.com/shanghai-pdxq/56467488.html?s=01&t=0,上海载和网络科技有限公司,上海-浦东新区,0.8-1万/月,1年经验,本科
商品规划师/商品计划师/数据分析,http://jobs.51job.com/ningbo/92337285.html?s=01&t=0,宁波维科鸭鸭商贸有限公司,宁波,4.5-6千/月,,
资金数据分析专员,http://jobs.51job.com/suzhou/86111003.html?s=01&t=0,维信集团苏州总部,苏州,4.5-6千/月,1年经验,本科
网站数据分析员/网站运营专员,http://jobs.51job.com/shanghai-jaq/91583002.html?s=01&t=0,聚思鸿信息技术服务Concentrix,上海-静安区,6-8千/月,5-7年经验,本科
数据分析,http://jobs.51job.com/suzhou/81370660.html?s=01&t=0,苏州广华地产策划营销有限公司,苏州,0.8-1万/月,3-4年经验,大专
咨询顾问/数据分析师,http://jobs.51job.com/shanghai-pdxq/91965207.html?s=01&t=0,唯凯国际物流股份有限公司,上海-浦东新区,0.5-1万/月,2年经验,本科
数据分析师实习生-广州-00088,http://jobs.51job.com/guangzhou/85362634.html?s=01&t=0,互动派科技股份有限公司,广州,1.5-2千/月,,本科
高级数据分析师,http://jobs.51job.com/guangzhou/90444579.html?s=01&t=0,广州星域信息科技有限公司,广州,6-8千/月,2年经验,本科
财务数据分析员,http://jobs.51job.com/chengdu-jnq/90796558.html?s=01&t=0,成都吕红发商贸有限公司,成都-金牛区,3-4.5千/月,1年经验,大专
数据分析岗,http://cpiclife.51job.com/sc/show_job_detail.php?jobid=84392060,太平洋人寿保险重庆分公司,重庆,3-4.5千/月,,
数据分析师,http://jobs.51job.com/chengdu/85976464.html?s=01&t=0,四川文轩在线电子商务有限公司,成都,6-8千/月,,本科
金融数据分析交易员6K+,http://jobs.51job.com/shenzhen-nsq/91390959.html?s=01&t=0,深圳市鑫荣高投资有限公司,深圳-南山区,0.8-1万/月,,高中
数据分析专员,http://jobs.51job.com/hangzhou/75536772.html?s=01&t=0,浙江小也网络科技有限公司,杭州,3-4.5千/月,,
市场调研/数据分析,http://jobs.51job.com/shanghai-xhq/91843255.html?s=01&t=0,云图起势（上海）科技有限公司,上海-徐汇区,0.8-1.2万/月,2年经验,本科
Business Analysis Intern业务分析/数据分析实习生,http://jobs.51job.com/shanghai/75258880.html?s=01&t=0,麦朗（上海）医疗器材贸易有限公司,上海,150元/天,1年经验,
数据分析师（美团外卖-众包配送）,http://meituan.51job.com/sc/job_shuoming.php?jobid=82646216,美团点评,北京,0.8-1万/月,,
数据分析师,http://jobs.51job.com/guangzhou-yxq/87349547.html?s=01&t=0,广东英扬传奇广告有限公司,广州-越秀区,1-2万/月,,本科
直招：专业外汇分析师，金融风控数据分析员,http://jobs.51job.com/chongqing-yzq/91206274.html?s=01&t=0,重庆赢貌科技有限公司,重庆-渝中区,4.5-8千/月,无工作经验,大专
数据分析师,http://jobs.51job.com/hangzhou/90816713.html?s=01&t=0,杭州就试易嘉网络科技有限公司,杭州,4.5-6千/月,,
BI数据分析师,http://jobs.51job.com/hangzhou-bjq/91318598.html?s=01&t=0,杭州亿家健康管理有限公司,杭州-滨江区,4-8千/月,1年经验,大专
商品数据分析（鞋服行业）,http://jobs.51job.com/guangzhou/75772339.html?s=01&t=0,骆驼服饰,广州,4-8千/月,2年经验,中专
企划数据分析（偏经营、行业分析）,http://jobs.51job.com/shanghai-pdxq/86289256.html?s=01&t=0,川石道企业信用征信（上海）有限公司,上海-浦东新区,1-2万/月,3-4年经验,
微软-销售数据分析,http://jobs.51job.com/beijing/82020594.html?s=01&t=0,北京迪美策方市场咨询有限公司,北京,1-1.5万/月,3-4年经验,本科
数据分析专员/总经理助理,http://jobs.51job.com/shanghai-qpq/92139783.html?s=01&t=0,上海鼎世展览展示有限公司,上海-青浦区,3-4.5千/月,无工作经验,大专
[急聘]研究员（物流数据分析方向）,http://jobs.51job.com/beijing/91389408.html?s=01&t=0,日立（中国）研究开发有限公司,北京,,2年经验,硕士
数据分析专员(001895),http://jobs.51job.com/guangzhou-thq/81814699.html?s=01&t=0,卓望控股有限公司,广州-天河区,0.8-1万/月,2年经验,本科
