职位名,链接,公司,工作地点,薪资,经验,学历
算法工程师 数据分析,http://jobs.51job.com/beijing-cyq/91746947.html?s=01&t=0,北京睿仁医疗科技有限公司,北京-朝阳区,0.8-1万/月,,本科
数据分析专员,http://jobs.51job.com/guangzhou-thq/92269735.html?s=01&t=0,上海鲸团科技有限公司,广州-天河区,3.5-4千/月,无工作经验,大专
业务数据分析岗,http://jobs.51job.com/chongqing/89561972.html?s=01&t=0,平安普惠企业管理有限公司重庆分公司,重庆,6-8千/月,,本科
金融外汇数据分析师(高级),http://jobs.51job.com/nanjing-jyq/91239407.html?s=01&t=0,南京恒至盈贸易有限公司,南京-建邺区,1-2万/月,3-4年经验,大专
数据分析文员/销售行政文员,http://jobs.51job.com/shenzhen/89873570.html?s=01&t=0,广东高乐玩具股份有限公司深圳分公司,深圳,4.5-6千/月,3-4年经验,大专
数据分析（运营）,http://jobs.51job.com/shanghai-pdxq/89701584.html?s=01&t=0,上海广群互联网金融信息服务有限公司,上海-浦东新区,1-1.5万/月,,
客服/销售数据分析,http://jobs.51job.com/shanghai-pdxq/88912396.html?s=01&t=0,登腾（上海）医疗器械有限公司,上海-浦东新区,4.5-6千/月,1年经验,大专
数据分析师助理,http://jobs.51job.com/shanghai-hpq/92419595.html?s=01&t=0,北京新中商数据科技有限公司上海分公司,上海-黄浦区,4-5千/月,1年经验,大专
数据分析,http://jobs.51job.com/guangzhou-byq/83922694.html?s=01&t=0,广州市拾肆商贸有限公司,广州-白云区,1-1.5万/月,,大专
数据分析师,http://jobs.51job.com/shanghai-jdq/80231399.html?s=01&t=0,上海分尚网络科技有限公司,上海-嘉定区,0.5-1万/月,2年经验,大专
数据分析师,http://jobs.51job.com/hangzhou-xsq/91405347.html?s=01&t=0,杭州法奈昇科技有限公司,杭州-萧山区,0.6-1.2万/月,3-4年经验,本科
数据分析师,http://jobs.51job.com/chengdu-qyq/83749836.html?s=01&t=0,成都轻松益家电子商务有限公司,成都-青羊区,6-8千/月,,本科
高级数据分析师（数据挖掘方向）,http://jobs.51job.com/jinshuiqu/91548685.html?s=01&t=0,郑州珑凌科技有限公司,郑州-金水区,6-8千/月,,
高级数据分析师 （广州分公司）,http://jobs.51job.com/guangzhou-thq/87639374.html?s=01&t=0,北京新媒传信科技有限公司,广州-天河区,1-1.5万/月,3-4年经验,
数据分析师,http://jobs.51job.com/shanghai-jaq/88482372.html?s=01&t=0,北京汇通天下物联科技有限公司,上海-静安区,0.8-1万/月,,本科
数据分析算法工程师,http://jobs.51job.com/beijing-hdq/92436629.html?s=01&t=0,上海索辰信息科技有限公司,北京-海淀区,1-1.5万/月,,本科
数据分析,http://jobs.51job.com/wenzhou/79815532.html?s=01&t=0,浙江巨圣鞋业有限公司,温州,3-4.5千/月,2年经验,大专
数据分析师,http://jobs.51job.com/shanghai-zbq/91872539.html?s=01&t=0,易居（中国）控股有限公司,上海-闸北区,0.8-1万/月,1年经验,本科
会员数据分析,http://jobs.51job.com/nanjing-yhtq/87385459.html?s=01&t=0,南京长江船服电子商务科技有限公司,南京-雨花台区,7-8千/月,,大专
数据分析员,http://jobs.51job.com/guangzhou/76974596.html?s=01&t=0,天讯瑞达通信技术有限公司,广州,0.8-1万/月,5-7年经验,大专
成本分析/数据分析,http://jobs.51job.com/shenzhen/87103908.html?s=01&t=0,美律电子（深圳）有限公司,深圳,4-6千/月,1年经验,大专
初级数据分析师,http://jobs.51job.com/shanghai/91116547.html?s=01&t=0,上海和付信息技术有限公司,上海,0.8-1.5万/月,,本科
高级商业数据分析师,http://jobs.51job.com/shanghai-xhq/82604663.html?s=01&t=0,上海画龙信息科技有限公司,上海-徐汇区,1.5-2万/月,,
数据分析师,http://jobs.51job.com/guangzhou-lwq/90098525.html?s=01&t=0,绿瘦国际集团（香港）公司,广州-荔湾区,4.5-6千/月,,本科
数据分析讲师(***/全职),http://jobs.51job.com/shanghai/91704480.html?s=01&t=0,海文信息技术有限公司,异地招聘,1000元/天,,本科
数据分析员,http://jobs.51job.com/wenzhou/87652900.html?s=01&t=0,浙江大东鞋业有限公司,温州,4-8千/月,,本科
数据分析员 应届毕业生,http://jobs.51job.com/shenzhen-lhxq/92096331.html?s=01&t=0,深圳市金广角科技有限公司,深圳-龙华新区,4.5-6千/月,1年经验,大专
数据分析专员,http://jobs.51job.com/nanchang-ncx/92443956.html?s=01&t=0,江西煌上煌集团食品股份有限公司,南昌-南昌县,2-4千/月,,大专
驻地运营（数据分析方向）,http://jobs.51job.com/guiyang/91476869.html?s=01&t=0,中广电传媒有限公司,贵阳,3-4.5千/月,1年经验,大专
数据分析员,http://jobs.51job.com/dongguan-ncq/71545116.html?s=01&t=0,钻石世家国际珠宝有限公司,东莞-南城区,3-4.5千/月,1年经验,大专
数据分析师,http://jobs.51job.com/shanghai-mhq/91890822.html?s=01&t=0,上海优雅广告有限公司,上海-闵行区,1-1.5万/月,2年经验,
数据分析专员（MG）8683,http://jobs.51job.com/ningbo/86033382.html?s=01&t=0,宁波玛蒂丽尔时尚服饰有限公司,宁波,6-8千/月,,
数据分析,http://jobs.51job.com/suzhou/84956131.html?s=01&t=0,苏州复承嘉华网络科技有限公司,苏州,0.6-1.2万/月,,本科
CRM database specialist/数据分析师,http://jobs.51job.com/shanghai-jaq/89543318.html?s=01&t=0,大连博创人力资源开发有限公司,上海-静安区,1-1.5万/月,,
可视化数据分析师,http://jobs.51job.com/shanghai-xhq/91263979.html?s=01&t=0,上海费芮网络科技有限公司,上海-徐汇区,1.5-2万/月,2年经验,大专
数据分析师-福州,http://jobs.51job.com/fuzhou/80187864.html?s=01&t=0,福建富士通信息软件有限公司,福州,1-1.5万/月,3-4年经验,本科
数据分析,http://jobs.51job.com/guangzhou-lwq/79575128.html?s=01&t=0,广州市阅风网络科技有限公司,广州-荔湾区,3-6千/月,,本科
数据分析运营专员,http://jobs.51job.com/wuhan-jxq/79353692.html?s=01&t=0,武汉卓翰网络科技有限公司,武汉-江夏区,4-6千/月,,
大数据分析助理 五险一金 周末双休,http://jobs.51job.com/dalian-zsq/87213676.html?s=01&t=0,大连友联科技信息服务有限公司,大连-中山区,4-6千/月,无工作经验,大专
CRM数据分析主任,http://jobs.51job.com/guangzhou-thq/84700768.html?s=01&t=0,赫基国际集团－Five Plus事业部,广州-天河区,,3-4年经验,本科
数据分析师,http://jobs.51job.com/guangzhou/88861327.html?s=01&t=0,广州荔枝网络有限公司,广州,1-2万/月,2年经验,本科
数据分析师,http://jobs.51job.com/beijing-cyq/84593886.html?s=01&t=0,北京智慧摩羯数据科技有限公司,北京-朝阳区,1.2-1.8万/月,2年经验,本科
数据分析员/商品专员,http://jobs.51job.com/guangzhou/71464538.html?s=01&t=0,广州比华利保罗服饰有限公司,广州,3.5-4.5千/月,2年经验,大专
数据分析,http://jobs.51job.com/shenzhen/88646985.html?s=01&t=0,深圳市优克联新技术有限公司,深圳,10-15万/年,,本科
数据分析师（互联网）,http://jobs.51job.com/shanghai-pdxq/81477101.html?s=01&t=0,上海方付通商务服务有限公司,上海-浦东新区,1-2万/月,3-4年经验,
数据分析师,http://jobs.51job.com/shanghai-pdxq/91997473.html?s=01&t=0,上海宏鹿信息技术服务有限公司,上海-浦东新区,1.5-3万/月,2年经验,本科
数据专员/数据分析专员,http://jobs.51job.com/guangzhou/84291629.html?s=01&t=0,广州中医药大学固生堂医疗门诊部有限公司,广州,5-7千/月,,大专
数据分析师,http://jobs.51job.com/beijing-ftq/84149228.html?s=01&t=0,经纶世纪医疗网络技术（北京）有限公司,北京-丰台区,6-8千/月,,大专
数据分析,http://jobs.51job.com/hangzhou-xhq/91041345.html?s=01&t=0,杭州拓道互联网金融服务有限公司,杭州-西湖区,0.8-1.2万/月,3-4年经验,
数据分析专员,http://jobs.51job.com/foshan/74966782.html?s=01&t=0,深圳市亿动力信息科技有限公司,佛山,3-5千/月,1年经验,本科
商品数据分析员,http://jobs.51job.com/guangzhou-byq/84030625.html?s=01&t=0,广东雅娜集团有限公司,广州-白云区,3.5-4.5千/月,2年经验,大专
数据分析师,http://jobs.51job.com/guangzhou-thq/90920969.html?s=01&t=0,北京盛世创富证券投资顾问有限公司广州分公司,广州-天河区,0.6-1.2万/月,1年经验,本科
商品数据分析专员/主管,http://jobs.51job.com/guangzhou-pyq/85759575.html?s=01&t=0,广州依趣服装有限公司,广州-番禺区,6-8千/月,3-4年经验,大专
数据分析,http://jobs.51job.com/shanghai-xhq/78702416.html?s=01&t=0,上海晟永企业管理咨询有限公司,上海-徐汇区,0.7-1.5万/月,,
数据分析经理,http://jobs.51job.com/nanjing/85842071.html?s=01&t=0,南京花津浦餐饮管理有限公司,南京,3-4万/月,,硕士
数据分析师（网站数据分析）,http://jobs.51job.com/shanghai/73832250.html?s=01&t=0,宁圣金融信息服务（上海）有限公司,上海,6-8千/月,3-4年经验,
数据分析师,http://jobs.51job.com/guiyang/88868837.html?s=01&t=0,云和恩墨（北京）信息技术有限公司,贵阳,6-8千/月,1年经验,本科
数据分析专员,http://jobs.51job.com/wuxi-bhq/90803851.html?s=01&t=0,无锡链家房地产经纪有限公司,无锡-滨湖区,4.5-6千/月,,本科
数据分析,http://jobs.51job.com/hangzhou-bjq/85684688.html?s=01&t=0,环球黑卡,杭州-滨江区,0.5-1万/月,1年经验,大专
数据分析员,http://jobs.51job.com/dongguan-dcq/70481894.html?s=01&t=0,东莞市力玛网络科技有限公司,东莞-东城区,3-4.5千/月,2年经验,
数据分析专员( 数据 电话 销售 调查员）,http://jobs.51job.com/dalian-shkq/56022036.html?s=01&t=0,Veeva Systems Inc,大连-沙河口区,4.5-6千/月,2年经验,大专
数据分析兼编程人员,http://jobs.51job.com/maanshan/89346622.html?s=01&t=0,安徽科达洁能股份有限公司,马鞍山,4-6千/月,,本科
数据分析员,http://jobs.51job.com/zhongshan/55119466.html?s=01&t=0,中山市荣实服饰有限公司,中山,3-4.5千/月,,
数据分析专员,http://jobs.51job.com/guangzhou/78418977.html?s=01&t=0,广州市娇兰化妆品有限公司,广州,3-4.5千/月,1年经验,本科
数据分析师,http://jobs.51job.com/chongqing/89693921.html?s=01&t=0,重庆（香港）中原营销策划顾问有限公司,重庆,4-5千/月,1年经验,本科
行政助理及数据分析,http://jobs.51job.com/huizhou/88239131.html?s=01&t=0,利东制衣（惠州）有限公司,惠州,3-3.5千/月,,大专
商品数据分析,http://jobs.51job.com/hangzhou-bjq/90742407.html?s=01&t=0,浙江隆仕升服饰有限公司,杭州-滨江区,4.5-6千/月,2年经验,大专
公司直招数据分析4000,http://jobs.51job.com/changchun-ngq/86165429.html?s=01&t=0,吉林省汇创优诚科技有限公司,长春-南关区,4.5-6千/月,无工作经验,高中
高级大数据分析师,http://jobs.51job.com/shanghai-ptq/84918593.html?s=01&t=0,北京游仁堂商贸有限公司,上海-普陀区,1-2万/月,,
高级数据分析师,http://jobs.51job.com/shanghai-pdxq/92109777.html?s=01&t=0,乐鑫信息科技（上海）有限公司,上海-浦东新区,1.5-2万/月,,本科
数据分析师-武汉-01031,http://jobs.51job.com/wuhan-wcq/90252315.html?s=01&t=0,京北方信息技术股份有限公司,武汉-武昌区,6-7.9千/月,,
数据分析师,http://jobs.51job.com/wuhu/88127541.html?s=01&t=0,三只松鼠股份有限公司,芜湖,3-4.5千/月,,
数据分析员,http://jobs.51job.com/guangzhou-byq/85069947.html?s=01&t=0,娇兰佳人集团广州分公司,广州-白云区,3.5-4.3千/月,1年经验,
金融数据分析师,http://jobs.51job.com/wuhan-hsq/69797635.html?s=01&t=0,财新数据科技有限公司,武汉-洪山区,5-7千/月,1年经验,本科
数据分析主管（商业支持）,http://jobs.51job.com/beijing-cyq/91668201.html?s=01&t=0,爱卡汽车网,北京-朝阳区,1.5-2.5万/月,,
商业数据分析师,http://jobs.51job.com/hangzhou-bjq/86931046.html?s=01&t=0,杭州来啊网络技术有限公司,杭州-滨江区,6-8千/月,2年经验,大专
数据分析师,http://jobs.51job.com/nanjing/92402640.html?s=01&t=0,南京三宝科技股份有限公司,南京,1-1.2万/月,3-4年经验,
数据分析师,http://jobs.51job.com/dongguan/83164091.html?s=01&t=0,中域电讯连锁集团股份有限公司,东莞,0.7-1.4万/月,1年经验,大专
数据分析经理,http://jobs.51job.com/shanghai-pdxq/89661137.html?s=01&t=0,上海即富信息技术服务有限公司,上海-浦东新区,2.5-3万/月,,
销售数据分析,http://jobs.51job.com/suzhou/91126117.html?s=01&t=0,绝味食品上海,苏州,3-4.5千/月,2年经验,大专
数据分析师,http://jobs.51job.com/chengdu-whq/87867532.html?s=01&t=0,四川省人口学会,成都-武侯区,8-12万/年,,本科
数据分析工程师,http://jobs.51job.com/shenzhen/91414697.html?s=01&t=0,精华隆智慧感知科技（深圳）股份有限公司,深圳,1.2-2.2万/月,,本科
大数据分析架构师,http://jobs.51job.com/shanghai-pdxq/90091481.html?s=01&t=0,上海天源迪科信息技术有限公司,上海-浦东新区,1.5-2万/月,5-7年经验,本科
数据分析专员（收单行业差错争议处理）,http://jobs.51job.com/shanghai-xhq/74539237.html?s=01&t=0,上海秉垚网络信息服务有限公司,上海-徐汇区,4.5-6千/月,,大专
商品专员/数据分析专员,http://jobs.51job.com/guangzhou/72364677.html?s=01&t=0,明洞优汇,广州,4.5-6千/月,2年经验,
数据分析员,http://jobs.51job.com/jinan/86454414.html?s=01&t=0,意威金融信息服务（上海）有限公司山东分公司,济南,4.5-6千/月,1年经验,本科
地产数据分析师,http://jobs.51job.com/jinan/92386820.html?s=01&t=0,山东锐房,济南,0.8-1万/月,3-4年经验,
数据分析专员,http://jobs.51job.com/beijing-dxq/85747743.html?s=01&t=0,北京爱亲投资股份有限公司,北京-大兴区,4-5千/月,,大专
数据分析师,http://jobs.51job.com/hangzhou-gsq/73844376.html?s=01&t=0,浙江汇信科技有限公司,杭州-拱墅区,1-1.5万/月,3-4年经验,本科
数据分析专员-杭州,http://jobs.51job.com/hangzhou-jgq/90127059.html?s=01&t=0,广州志鸿物流有限公司,杭州-江干区,3-4.5千/月,,中专
销售数据分析,http://jobs.51job.com/shanghai-mhq/85898540.html?s=01&t=0,百家好（上海）时装有限公司,上海-闵行区,4-7千/月,1年经验,
运营管理专员/数据分析师,http://jobs.51job.com/dongguan/77766957.html?s=01&t=0,东莞链家房地产经纪有限公司,东莞,4.5-6千/月,无工作经验,本科
数据分析实习生,http://jobs.51job.com/chengdu/88163128.html?s=01&t=0,成都市视爵图像设计有限公司,成都,3-4千/月,,
高薪急聘：数据分析专员（上市公司+双休+五险一金）,http://jobs.51job.com/guangzhou/87738950.html?s=01&t=0,广州若羽臣科技股份有限公司,广州,4.5-6千/月,1年经验,大专
数据分析师,http://jobs.51job.com/shanghai-qpq/92140741.html?s=01&t=0,上海皇宇科技（集团）股份有限公司,上海-青浦区,0.7-1万/月,3-4年经验,大专
数据分析,http://jobs.51job.com/shanghai-xhq/69074273.html?s=01&t=0,明纵实业发展（上海）有限公司,上海-徐汇区,6-8千/月,1年经验,本科
数据分析算法工程师,http://jobs.51job.com/beijing/66594511.html?s=01&t=0,北京华如科技股份有限公司,北京,6-8千/月,1年经验,硕士
数据分析专员,http://jobs.51job.com/wuhan-wcq/91433326.html?s=01&t=0,武汉一起好金融信息服务股份有限公司,武汉-武昌区,4-7千/月,,
高级数据分析师,http://jobs.51job.com/tianjin/88619669.html?s=01&t=0,天津天大求实电力新技术股份有限公司,天津,0.8-1万/月,,
高新诚聘数据分析师,http://jobs.51job.com/jinan-lcq/87567967.html?s=01&t=0,山东澳威企业管理咨询有限公司,济南-历城区,3-4.5千/月,,
数据分析员,http://jobs.51job.com/beijing-tzq/84400231.html?s=01&t=0,通润康诺科技（北京）有限公司,北京-通州区,0.4-1万/月,1年经验,大专
供应链金融数据分析师,http://jobs.51job.com/shanghai-ptq/70168647.html?s=01&t=0,上海文沥信息技术有限公司,上海-普陀区,1.5-2.5万/月,5-7年经验,硕士
gis数据分析工程师,http://jobs.51job.com/beijing/68730068.html?s=01&t=0,大庆油田工程有限公司北京分公司,北京,0.5-1万/月,2年经验,本科
数据分析师,http://jobs.51job.com/shanghai/80629099.html?s=01&t=0,上海东方希杰商务有限公司/东方购物/东方CJ,上海,,,
数据分析员,http://jobs.51job.com/shenzhen/92326921.html?s=01&t=0,深圳互惠联盟电子商务有限公司,深圳,4.5-6千/月,,大专
数据分析工程师,http://jobs.51job.com/beijing/77186206.html?s=01&t=0,亿阳信通股份有限公司,北京,,2年经验,本科
数据分析师,http://jobs.51job.com/shenzhen-nsq/89795655.html?s=01&t=0,深圳市远望谷信息技术股份有限公司,深圳-南山区,0.8-1.5万/月,,本科
数据分析师/数据挖掘工程师/用户运营,http://jobs.51job.com/shanghai-hkq/91605755.html?s=01&t=0,上海汉州资产管理有限公司,上海-虹口区,0.8-1.2万/月,1年经验,本科
商品数据分析专员,http://jobs.51job.com/guangzhou-hzq/91452381.html?s=01&t=0,广州市索萨服饰有限公司,广州-海珠区,6-8千/月,3-4年经验,大专
Python数据分析师,http://jobs.51job.com/suzhou-gyyq/82811222.html?s=01&t=0,苏州金溢宝大数据科技有限公司,苏州-工业园区,0.7-1.5万/月,1年经验,本科
五百强外企—COP数据分析,http://jobs.51job.com/shanghai/83099126.html?s=01&t=0,上海合杰人才服务有限公司,上海,4.5-5千/月,无工作经验,大专
数据分析师,http://jobs.51job.com/shanghai/92218226.html?s=01&t=0,上海海晏威固国际贸易有限公司,上海,0.8-1.2万/月,,大专
数据分析师,http://jobs.51job.com/chengdu-chq/74345475.html?s=01&t=0,华润置地（成都）商业管理公司,成都-成华区,4-6千/月,1年经验,本科
销售行政专员（数据分析）Sales Admin Specialist,http://jobs.51job.com/beijing-cyq/90684690.html?s=01&t=0,欧蒙医学诊断（中国）有限公司,北京-朝阳区,6-8千/月,,
大数据分析工程师,http://jobs.51job.com/shenzhen/87410473.html?s=01&t=0,深圳达实智能股份有限公司,异地招聘,1-3万/月,3-4年经验,本科
商品企划主管（数据分析）,http://jobs.51job.com/guangzhou/88220582.html?s=01&t=0,广州卡门实业有限公司,广州,6-8千/月,3-4年经验,
数据分析师（初级）,http://jobs.51job.com/beijing-cyq/84651870.html?s=01&t=0,中青联盟大数据研究（北京）有限公司,北京-朝阳区,0.5-1.5万/月,1年经验,本科
数据分析经理/主管,http://zta.51job.com/details.php?jobid=91936620,中国正通汽车服务控股有限公司,北京-丰台区,1-1.8万/月,,
数据分析,http://jobs.51job.com/shenzhen/85207877.html?s=01&t=0,深圳奥莎尼服装设计有限公司,深圳,0.8-1万/月,5-7年经验,大专
数据分析岗,http://jobs.51job.com/shenzhen/91091929.html?s=01&t=0,衍生（深圳）投资基金管理有限公司,深圳,15-20万/年,5-7年经验,本科
数据分析专员-北京-08678,http://jobs.51job.com/beijing-ftq/88952546.html?s=01&t=0,优信集团,北京-丰台区,5-8千/月,1年经验,大专
数据分析,http://jobs.51job.com/wuhan-jaq/87833897.html?s=01&t=0,武汉吉家江寓房产管理服务有限公司,武汉-江岸区,3-4千/月,,大专
数据分析工程师,http://jobs.51job.com/guangzhou-thq/88767246.html?s=01&t=0,浙江金科文化产业股份有限公司,异地招聘,0.8-1.5万/月,,
数据分析专员,http://jobs.51job.com/hangzhou-jgq/85759653.html?s=01&t=0,杭州伊布都服饰有限公司,杭州-江干区,4-6千/月,1年经验,大专
数据分析专员,http://jobs.51job.com/hangzhou/91354651.html?s=01&t=0,卓尚服饰（杭州）有限公司,杭州,4.5-6千/月,2年经验,
商品数据分析专员,http://jobs.51job.com/chengdu-jjq/91576524.html?s=01&t=0,成都市佐佑星宇商贸有限公司,成都-锦江区,3-4.5千/月,1年经验,大专
数据分析员,http://jobs.51job.com/hangzhou-gsq/92198915.html?s=01&t=0,金诚集团,杭州-拱墅区,1-1.5万/月,,
系统开发及数据分析员(上海奉贤）,http://jobs.51job.com/shanghai-fxq/84177763.html?s=01&t=0,米思米（中国）精密机械贸易有限公司,上海-奉贤区,6-8千/月,2年经验,大专
上市企业招聘数据分析师助理 双休 五险,http://jobs.51job.com/xian-blq/91062383.html?s=01&t=0,北京才秀人人科技有限公司,西安-碑林区,3-4.5千/月,无工作经验,大专
数据分析师用户方向,http://jobs.51job.com/shenzhen/92072319.html?s=01&t=0,深圳市一元云购网络科技有限公司,深圳,0.8-1万/月,3-4年经验,大专
财务数据分析,http://jobs.51job.com/shenzhen-nsq/91828252.html?s=01&t=0,深圳布谷鸟信息科技有限公司,深圳-南山区,0.8-1万/月,2年经验,大专
数据分析专员,http://jobs.51job.com/chenzhou/88901069.html?s=01&t=0,郴州百纳行房地产经纪有限公司,郴州,2-3千/月,,
数据分析专员,http://jobs.51job.com/shenzhen-lgq/89317261.html?s=01&t=0,南京闪奇信息技术有限公司,深圳-龙岗区,6-8千/月,1年经验,本科
数据分析师,http://jobs.51job.com/nanjing-jnq/82369932.html?s=01&t=0,江苏享佳健康科技股份有限公司,南京-江宁区,0.8-1.2万/月,2年经验,本科
数据分析专员,http://jobs.51job.com/shanghai-pdxq/91735071.html?s=01&t=0,上海上有资产管理有限公司,上海-浦东新区,6-8千/月,2年经验,本科
数据分析主管,http://jobs.51job.com/hefei/78698843.html?s=01&t=0,科大国创软件股份有限公司,合肥,4.5-6千/月,,本科
数据分析开发,http://jobs.51job.com/nanjing-jyq/87773818.html?s=01&t=0,北京直真科技股份有限公司,南京-建邺区,0.6-1万/月,,本科
游戏数据分析师,http://jobs.51job.com/guangzhou-pyq/89055668.html?s=01&t=0,广州华立科技股份有限公司,广州-番禺区,1-5万/月,,
临床数据分析专员,http://jobs.51job.com/shanghai-pdxq/81325644.html?s=01&t=0,上海格诺生物科技有限公司,上海-浦东新区,6.5-8.5千/月,1年经验,本科
数据分析师,http://jobs.51job.com/changsha/92130089.html?s=01&t=0,湖南开启时代电子信息技术有限公司,长沙,4.5-6千/月,2年经验,本科
数据分析,http://jobs.51job.com/tianjin-hxq/77029494.html?s=01&t=0,北京中电信联科技发展有限公司,天津-河西区,4.5-6千/月,1年经验,
数据分析员,http://jobs.51job.com/shanghai/88122181.html?s=01&t=0,上海至纯洁净系统科技股份有限公司,上海,6-8千/月,,大专
数据分析,http://jobs.51job.com/changshu/88171377.html?s=01&t=0,苏州奥世体育用品有限公司,常熟,3-4.5千/月,1年经验,大专
数据分析师,http://jobs.51job.com/shanghai/73233116.html?s=01&t=0,上海钢联电子商务股份有限公司,上海,1-1.5万/月,3-4年经验,本科
货品数据分析员,http://jobs.51job.com/shanghai-pdxq/80560111.html?s=01&t=0,上海豫园黄金珠宝集团有限公司,上海-浦东新区,4.5-6千/月,,本科
数据分析文员（双休）,http://jobs.51job.com/shenyang/92394237.html?s=01&t=0,沈阳浟湙网络技术有限公司,沈阳,2-4千/月,,
助理数据分析师（实习）,http://jobs.51job.com/shanghai-pdxq/91619010.html?s=01&t=0,混沌天成期货股份有限公司,上海-浦东新区,3-6千/月,,本科
数据分析算法工程师,http://jobs.51job.com/changsha/88481911.html?s=01&t=0,湖南优加智能科技有限公司,长沙,0.9-1.8万/月,,
数据分析师（大数据）,http://jobs.51job.com/shenzhen-nsq/83455471.html?s=01&t=0,深圳智扬信达信息技术有限公司,深圳-南山区,1-1.5万/月,,
数据分析专员,http://jobs.51job.com/wuhan-jaq/78390860.html?s=01&t=0,武汉青花服装设计制作有限公司,武汉-江岸区,3-4.5千/月,2年经验,大专
数据分析/投资者关系管理,http://jobs.51job.com/beijing-dcq/89332147.html?s=01&t=0,北京网秦天下科技有限公司,北京-东城区,0.7-2万/月,,本科
数据分析员,http://jobs.51job.com/guangzhou-thq/84129689.html?s=01&t=0,贵州小糊涂仙酒业有限公司,广州-天河区,4-8千/月,,
阿里大数据分析师,http://jobs.51job.com/guangzhou-thq/90627453.html?s=01&t=0,广州即明网络科技有限公司,广州-天河区,6-8千/月,,本科
Yield Data Analyst 数据分析工程师（合肥）,http://jobs.51job.com/hefei/87585228.html?s=01&t=0,大陆马牌轮胎（中国）有限公司,合肥,,,本科
Python 数据分析师,http://jobs.51job.com/xian-gxjs/92315266.html?s=01&t=0,北京空间畅想信息技术有限责任公司,西安-高新技术...,1-1.5万/月,,本科
数据分析实习生,http://jobs.51job.com/shanghai-zbq/91349021.html?s=01&t=0,雅智捷（上海）商贸有限公司,上海-闸北区,100元/天,无工作经验,本科
数据专员/数据分析/销售数据分析员Q2305,http://jobs.51job.com/shanghai-xhq/91130557.html?s=01&t=0,上海沪硕投资管理有限公司,上海-徐汇区,6-8千/月,1年经验,大专
大数据分析（周末双休/五险一金）,http://jobs.51job.com/hefei/91121520.html?s=01&t=0,安徽卡其数字科技有限公司,合肥,4-6千/月,,大专
财务数据分析专员（杭州）,http://jobs.51job.com/hangzhou/76963933.html?s=01&t=0,深圳华润九新药业有限公司 （华润三九抗感染事业部）,杭州,6-8千/月,2年经验,本科
数据分析专员,http://jobs.51job.com/shanghai-cnq/83874946.html?s=01&t=0,浙江红蜻蜓鞋业股份有限公司,上海-长宁区,6-8千/月,,大专
高铁运行数据分析工程师,http://jobs.51job.com/chengdu-jnq/92062535.html?s=01&t=0,成都天佑路航轨道交通科技有限公司,成都-金牛区,0.5-1万/月,2年经验,本科
数据分析与督查（五险一金、双休、朝九晚五）,http://jobs.51job.com/hefei/86455620.html?s=01&t=0,安徽蓝杰鑫信息科技有限公司,合肥,4.5-6千/月,,
BI工程师/数据分析师,http://jobs.51job.com/shanghai/66982597.html?s=01&t=0,上海安硕信息技术股份有限公司,上海,0.6-1.2万/月,1年经验,本科
数据分析师,http://jobs.51job.com/suzhou-gyyq/92063568.html?s=01&t=0,苏州雪松湾教育科技有限公司,苏州-工业园区,0.8-1.5万/月,,
后勤支持专员（数据分析方向）,http://jobs.51job.com/shanghai-ptq/89164106.html?s=01&t=0,饿了么,上海-普陀区,4-8千/月,1年经验,本科
零基础培训数据分析师五险双休+补助+可实习,http://jobs.51job.com/beijing-dcq/83046852.html?s=01&t=0,北京万向通汇投资有限公司,北京-东城区,0.8-1万/月,1年经验,本科
4.数据分析,http://jobs.51job.com/shanghai/91310972.html?s=01&t=0,菲普斯特国际贸易集团（上海）有限公司,上海,0.8-1万/月,2年经验,本科
数据分析人员,http://jobs.51job.com/fuzhou/74670389.html?s=01&t=0,福州创荣软件科技有限公司,福州,4.5-6千/月,,大专
中高级数据库开发/数据分析（急招）,http://jobs.51job.com/shanghai-pdxq/85073508.html?s=01&t=0,天阳宏业,上海-浦东新区,1.2-2.5万/月,3-4年经验,本科
医疗信息数据分析,http://jobs.51job.com/shanghai-jaq/87396835.html?s=01&t=0,上海金仕达卫宁软件科技有限公司,上海-静安区,0.6-1.2万/月,2年经验,本科
Sr. Data Analyst / 资深数据分析师,http://jobs.51job.com/shanghai-cnq/92268216.html?s=01&t=0,3M中国有限公司,上海-长宁区,,,本科
数据分析师,http://jobs.51job.com/beijing-hdq/91556680.html?s=01&t=0,北京大数元科技发展有限公司,北京-海淀区,10-15万/年,2年经验,本科
数据分析,http://jobs.51job.com/beijing-myx/78718642.html?s=01&t=0,华润置地弘景（北京）房地产开发有限公司,北京-密云县,4.5-6千/月,1年经验,本科
反欺诈调查培训生（数据分析方向）,http://jobs.51job.com/guangzhou-thq/90054991.html?s=01&t=0,万惠融资租赁有限公司,广州-天河区,4.5-6千/月,1年经验,
数据分析岗（半刻）,http://jobs.51job.com/shenzhen-nsq/84202899.html?s=01&t=0,深圳前海大数金融服务有限公司,深圳-南山区,1.5-2万/月,3-4年经验,本科
数据分析专员,http://jobs.51job.com/shenzhen/83206488.html?s=01&t=0,深圳市前海云房网络科技有限公司,深圳,5-8千/月,2年经验,大专
女装商品数据分析员,http://jobs.51job.com/guangzhou-yxq/71731173.html?s=01&t=0,广州郑禧璐商贸有限公司,广州-越秀区,3-4.5千/月,,
