标题,房型,房租,房租单位,地址
展览/展示/展厅--三维设计,上海芮德会展服务有限公司,上海-嘉定区,6-8千/月,07-03
销售代表,上海有色网信息科技股份有限公司,上海-浦东新区,0.5-1.5万/月,07-03
6K 游戏测试/软件测试专员(可收应届生+稳定福利好）,北京优才创智科技有限公司,上海-宝山区,4.5-6千/月,07-03
平面设计实习生,上海星冰智商务信息咨询有限公司,上海-普陀区,4.5-6千/月,07-03
软件测试工程师0703,上海大易云计算股份有限公司,上海-黄浦区,6-8千/月,07-03
(梦想季) 链家管培生、实习生、房地产销售 5k+住宿,上海链家,上海-宝山区,6-8千/月,07-03
出纳担当 (编号90279) 日语必须,上海艾杰飞人力资源有限公司,上海,4.5-6千/月,07-03
客户代表/销售代表/投资顾问,上海仝赢商贸有限公司,上海-嘉定区,6-8千/月,07-03
资深客户专员SAE,上海众引文化传播股份有限公司,上海-黄浦区,6-8千/月,07-03
HR Specialist-Communications & Recruitment,UPS,上海-浦东新区,0.6-1万/月,07-03
Software Senior Engineer,EMC-易安信信息技术研发（上海）有...,上海,2-2.5万/月,07-03
生产工程师,磐研电子科技,上海-浦东新区,4.5-6千/月,07-03
软件实施工程师,上海天坊信息科技有限公司,上海-徐汇区,0.8-1万/月,07-03
工艺流程设计师,上海艺特网络科技有限公司,上海-徐汇区,1-1.5万/月,07-03
青少年球探总监,上海聚运动体育投资有限公司,上海-徐汇区,1-1.5万/月,07-03
